island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,alpha,c_clients,y
0,1128,0.024183693158673327,65,0.5354609929078015,0.8169067296340025,0.8470208579299487,0.8062888626524991,-0.010617866981503354,0.03011412829594644,0.014941658354022124,0.011853595718136357,0.014181230100560082,0.0070450818596049895,0.016644847528336445,0.8169067296340022,0.8470208579299487,0.8062888626524991,-0.010617866981503354,0.030114128295946486,0.014941658354022152,0.011853595718136392,0.014181230100560108,0.0070450818596049895,0.01664484752833648,0.8176991150442479,0.8477876106194691,0.8061946902654867,-0.011504424778761058,0.030088495575221218,0.015173830265028512,0.013303802104754807,0.01517383026502853,0.007714865386797672,0.017565870125025845,0.10311783287271567,0.5752329219084926,0.11188042249406864,0.08733202208442079,0.08653822070288388,0.021937987893592876,0.07948462156640845,0.024736344339663464,0.1195597032594673,0.05784057491998447,0.13177520953386318,0.07832623704642327,0.1036045439064841,0.05515576055303066,0.10027835027876626,0.03655923920867639,0.09040836441685977,0.04803097068297969,0.0733527309684828,0.014847941362735798,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,0
1,1128,0.024183693158673327,65,0.6347517730496454,0.782222596680428,0.8128485971859467,0.78626674530289,0.0040441486224618295,0.030626000505518537,0.02897653232721363,0.021680477834752302,0.03263701785103962,0.008644753626626216,0.011050814174083394,0.7822225966804279,0.8128485971859467,0.78626674530289,0.004044148622461896,0.030626000505518603,0.028976532327213582,0.021680477834752302,0.032637017851039625,0.00864475362662621,0.011050814174083295,0.808849557522124,0.8309734513274336,0.8088495575221237,0.0,0.022123893805309748,0.026162381414326516,0.01885599624129425,0.028866383062478032,0.0100900480097269,0.010838450189306133,0.1770884912793757,0.11069125226063373,0.08548334307302938,0.5643017923750844,0.04180594531537064,0.007584306969630032,0.07049116327780916,0.03177700300025006,0.1280700661954341,0.07196996954972122,0.07657991400301964,0.020228536025992203,0.11214143592016643,0.04161774554078371,0.14123577384312308,0.07224007074107724,0.05393947032899872,0.013334629421476061,0.11316439676367314,0.06625469411535126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,0
2,1128,0.024183693158673327,65,0.3971631205673759,0.8030555555555555,0.8079248366013072,0.7953267973856211,-0.007728758169934591,0.004869281045751661,0.022585021463302615,0.027103405696837817,0.024753871934393858,0.004870706463294515,0.020910985617433327,0.8030555555555555,0.8079248366013072,0.7953267973856211,-0.007728758169934613,0.004869281045751639,0.022585021463302643,0.027103405696837817,0.02475387193439388,0.004870706463294479,0.020910985617433316,0.8176991150442477,0.8185840707964601,0.808849557522124,-0.008849557522123885,0.0008849557522123686,0.019266850492988694,0.021312556776623526,0.02082938459458375,0.0048471022788067674,0.020449946917329785,0.11127032678335497,0.04229712720272309,0.08106940652492028,0.012578256757419576,0.08673640532332892,0.6175735460303748,0.07828597732096643,0.02940259452639172,0.11036962168693537,0.0611291738182287,0.08560126851662617,0.03356927150460648,0.1479229235475213,0.09006074825158564,0.09933866420120842,0.029740263197216794,0.09117474718914334,0.053574315469409065,0.10823065890599455,0.03007470324204408,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,0
3,1128,0.024183693158673327,65,0.3776595744680851,0.7640967876512307,0.7840634125990821,0.7612599082186066,-0.0028368794326241397,0.019966624947851442,0.0374118424528955,0.030326014828905415,0.03435570748499892,0.010102433127071578,0.011643559135477877,0.7640967876512307,0.7840634125990821,0.7612599082186066,-0.002836879432624162,0.019966624947851442,0.03741184245289544,0.030326014828905345,0.034355707484998874,0.01010243312707165,0.011643559135477877,0.7831858407079646,0.7946902654867257,0.779646017699115,-0.003539823008849541,0.011504424778761058,0.032273597396124704,0.021964024152196213,0.02900171612066185,0.009854450199699138,0.013879988620670894,0.105444804908526,0.054899511145577486,0.0879240253408351,0.040347148849191126,0.07146541866783761,0.02174628915782445,0.0861539692198265,0.5908716488501473,0.088930671370965,0.01998130036231748,0.11965454131539714,0.026501258668666216,0.12541773729593841,0.09815409410634857,0.1585634333708035,0.09465311036530961,0.07322462383310642,0.029442009304510235,0.08322077467676414,0.023403629190107352,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,0
4,1128,0.024183693158673327,65,0.4450354609929078,0.8093306930693069,0.8279524752475247,0.806930693069307,-0.002400000000000002,0.01862178217821777,0.010699245740964463,0.028450040758061807,0.011539862844384614,0.004513711858948599,0.01986022957453067,0.8093306930693069,0.8279524752475247,0.806930693069307,-0.00239999999999998,0.018621782178217815,0.010699245740964447,0.028450040758061793,0.011539862844384649,0.00451371185894862,0.019860229574530684,0.808849557522124,0.8256637168141594,0.8061946902654867,-0.0026548672566371724,0.0168141592920354,0.011673368104666284,0.029430600262505994,0.011332963252093514,0.003539823008849563,0.01986720736340147,0.10477447326735478,0.08214645739685551,0.10477710485386134,0.0661363405726839,0.06684811932397391,0.014485132563563435,0.0789173828864208,0.016264204896360972,0.11775510177712967,0.5993404502601132,0.09017922933183264,0.04668621133690308,0.12473931848499839,0.04190061250918312,0.10822228106415269,0.051445021582048854,0.07270071928745941,0.02843398680471612,0.13108626972281634,0.053161582077572024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,0
5,1128,0.024183693158673327,65,0.624113475177305,0.8255819774718397,0.8253566958698373,0.8189570296203588,-0.006624947851481,-0.000225281602002525,0.011618144001717947,0.028105373472518902,0.011461384819847908,0.002184632356613271,0.03136453265710936,0.8255819774718398,0.8253566958698373,0.8189570296203588,-0.006624947851481022,-0.000225281602002525,0.011618144001717966,0.028105373472518902,0.011461384819847875,0.0021846323566133002,0.03136453265710935,0.8371681415929204,0.8380530973451327,0.8283185840707965,-0.008849557522123862,0.000884955752212413,0.01098201207609812,0.025433819226902507,0.010982012076098072,0.0027984758054587474,0.026607604209509573,0.09809168439901818,0.07316290877695482,0.08578084336033548,0.04994028995333723,0.10688157958293798,0.027993230948906572,0.07382727493582222,0.033605037533861966,0.09177091019616025,0.07274466054564785,0.12131599547146384,0.5862684309477425,0.08485742787797304,0.03321555433139425,0.16497666255309248,0.04367564648387941,0.08419710614171415,0.029394406304760434,0.0883005154814824,0.04999983417351502,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,0
6,1128,0.024183693158673327,65,0.44858156028368795,0.7950891089108911,0.806590099009901,0.7875881188118813,-0.007500990099009885,0.01150099009900989,0.02925037089726698,0.009028160368494256,0.02711748383635071,0.005460327728628484,0.025862527532315355,0.7950891089108911,0.806590099009901,0.7875881188118813,-0.007500990099009908,0.01150099009900991,0.029250370897267015,0.009028160368494303,0.027117483836350764,0.005460327728628481,0.025862527532315358,0.7964601769911503,0.8070796460176993,0.7902654867256637,-0.006194690265486735,0.01061946902654871,0.026400767947214698,0.005309734513274345,0.024332260327199158,0.004512406649197162,0.02573989304822831,0.09563884489192104,0.05556187527973464,0.12254267420696571,0.057904474440038656,0.07360350524018845,0.04960935387101445,0.11983635225037788,0.06712746033450626,0.10695136678443995,0.031249041908627605,0.08429391288266147,0.0189825226842566,0.1440077433964791,0.6466714501384764,0.09855183616751997,0.036871470626252914,0.05747232586901433,0.008358642332230133,0.0971014383104321,0.027663708384862287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,1
7,1128,0.024183693158673327,65,0.38563829787234044,0.7881005540395271,0.792706524435624,0.789679980153808,0.0015794261142809463,0.004605970396096981,0.013648666560538281,0.040054668840158784,0.012061466615451237,0.003647609605345088,0.03012976480609241,0.788100554039527,0.792706524435624,0.789679980153808,0.0015794261142809906,0.004605970396096959,0.01364866656053832,0.040054668840158826,0.012061466615451254,0.003647609605345082,0.030129764806092422,0.7991150442477876,0.8053097345132743,0.8,0.0008849557522123908,0.006194690265486691,0.013594948226316142,0.03275531951030398,0.012945786582590988,0.0033112012272335815,0.024492659297518656,0.1264877694560714,0.05993790925227692,0.10056161274208861,0.04871829740119858,0.09673136384011274,0.06748436792337284,0.10596553734330146,0.02886618341222974,0.08239450154364755,0.02823551324545906,0.06491066381647868,0.023258688891415913,0.15911179655444757,0.06590373385382148,0.07316800964152481,0.6360430174975246,0.08376413557129127,0.011580942163048662,0.10690460949103589,0.02997134635965217,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,0
8,1128,0.024183693158673327,65,0.29343971631205673,0.7533901515151514,0.7284090909090909,0.7581060606060606,0.004715909090909065,-0.024981060606060625,0.012198704704379329,0.015065094447333236,0.016397687460139133,0.012523995563558479,0.012029929722854717,0.7533901515151515,0.7284090909090909,0.7581060606060607,0.0047159090909090874,-0.024981060606060645,0.012198704704379329,0.015065094447333286,0.016397687460139133,0.0125239955635585,0.012029929722854731,0.8159292035398229,0.7893805309734513,0.8150442477876106,-0.0008849557522123686,-0.026548672566371657,0.014965959756891797,0.005309734513274345,0.017565870125025827,0.009024813298394293,0.010090048009726852,0.10143797940774855,0.07275602138128694,0.062035890503338464,0.013348215687451068,0.14904977637354122,0.06868155241139237,0.08013635849458135,0.026375665001659294,0.10437125592137485,0.052436488184935515,0.1361304428736057,0.06324408517093841,0.07248479087988142,0.02658470440108999,0.06573138473768929,0.017188750343636806,0.08910367670545544,0.6144895610919744,0.13951844410278363,0.04489495632563518,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,0
9,1128,0.024183693158673327,65,0.5957446808510638,0.8162067562067563,0.837134717134717,0.8113308913308913,-0.004875864875864911,0.020927960927960787,0.019438952997108884,0.009149477778726142,0.017751351562803597,0.011238383076794638,0.021985533620389894,0.8162067562067563,0.8371347171347171,0.8113308913308913,-0.004875864875864866,0.020927960927960898,0.01943895299710888,0.009149477778726153,0.017751351562803604,0.011238383076794537,0.02198553362038985,0.8292035398230089,0.8477876106194691,0.8212389380530973,-0.007964601769911494,0.018584070796460163,0.019708900399398297,0.009933603681700745,0.021053765050212937,0.012326007324941686,0.019867207363401442,0.0874010349754215,0.054271874850687275,0.11267453551255321,0.04083036689791851,0.0744983005301381,0.018219224922240297,0.07059193286819794,0.02440179387960833,0.17118082186109262,0.12466689103468705,0.05567929386045789,0.017269366205962346,0.11342409100720041,0.06270890623375845,0.13858744469479906,0.07163959524034479,0.0700600481390783,0.024146902717085764,0.10590249655106099,0.5618450780177071,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4,census,dirichlet,0.2,0.2,5,0.0,10.0,10,1
