island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,imp_on_validation_10,imp_on_pooled_10,imp_on_validation_11,imp_on_pooled_11,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,jaccard_10,jaccard_11,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,natural_col
0,5860,0.06115888786841446,38,0.15921501706484642,0.8002171611607265,0.9474660007057738,0.8353152908602297,0.03509812969950321,0.14724883954504736,0.01772601627544901,0.01227785769266632,0.01682500120017933,0.012012548071350666,0.016942094427772628,0.8002171611607265,0.9474660007057738,0.8353152908602297,0.03509812969950321,0.14724883954504733,0.01772601627544901,0.01227785769266625,0.016825001200179292,0.012012548071350616,0.016942094427772628,0.930716723549488,0.9728668941979521,0.9387372013651877,0.008020477815699655,0.04215017064846418,0.006507056643323419,0.006279306994189105,0.006439577564543765,0.003174244921115747,0.005079479886053624,0.05398176236003393,0.35941186814303966,0.022642967520959595,0.005201102379223216,0.12940818101102308,0.0948678909230925,0.01045026116557478,0.0022321812294503296,0.162224877858894,0.13468390848159972,0.05877801621452442,0.03154713821141632,0.059590500718198505,0.04353899267417487,0.1479076259919672,0.07780545758943634,0.08018363601750851,0.058912145444080355,0.04167413204655233,0.013164118956201445,0.21974102324840628,0.17562135453028743,0.01341701584635727,0.0030138414379978816,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
1,5376,0.056107539450613676,38,0.2825520833333333,0.8912309108262886,0.949117125715844,0.9065039541859832,0.015273043359694616,0.0578862148895555,0.007229633189784628,0.007713573972914295,0.01217318776563985,0.006677991247035494,0.01138117097158191,0.8912309108262886,0.949117125715844,0.9065039541859832,0.015273043359694594,0.05788621488955552,0.007229633189784606,0.0077135739729142895,0.012173187765639776,0.006677991247035447,0.011381170971581896,0.9323420074349442,0.9618959107806692,0.9368029739776951,0.004460966542750943,0.029553903345724875,0.006063013542862499,0.00563782560896026,0.008374632212690584,0.004046754843322908,0.008382879021397543,0.04662450517839282,0.025073209169638334,0.04872190485334038,0.2428829770341443,0.11439365540174318,0.11223557242264932,0.018636545060786686,0.003235989796238359,0.07176171004461979,0.05258914231563948,0.2315611768051014,0.21523867962279875,0.030464832153690467,0.023251894791414828,0.18714895231285966,0.16627396903330532,0.08553995680043884,0.04959289686836342,0.02658493924800288,0.016155386983135504,0.12298619541705944,0.08961129725090523,0.015575626723964498,0.003858984711767142,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
2,7833,0.08175043834015196,38,0.21971147708413125,0.8890440491357507,0.9498086577040826,0.9063858411454866,0.017341792009735846,0.06076460856833175,0.013549635937876702,0.005521483270954863,0.01199817638173155,0.006955307447267017,0.009098741554135724,0.8890440491357507,0.9498086577040826,0.9063858411454866,0.017341792009735867,0.06076460856833175,0.01354963593787673,0.005521483270954863,0.01199817638173154,0.006955307447267017,0.009098741554135752,0.9477983407785577,0.9708998085513721,0.953669432035737,0.005871091257179328,0.02310146777281432,0.006782555331505513,0.0030896537171436326,0.0068803226404306455,0.0025334311731052043,0.004519701648915314,0.07625070639281521,0.05265477102012345,0.03782458567441752,0.02175861692777122,0.15620638912719428,0.3879830530723094,0.01122537996155792,0.0022512503784443048,0.18096080775199835,0.14829851202490704,0.08422233076859198,0.06103046780116297,0.03250774619753276,0.01360936108241902,0.18925020548828556,0.13004413501018094,0.057526510296875444,0.05299572818762823,0.02849690641610981,0.02050271345773582,0.13199065988490227,0.10582277836355855,0.013537772039718865,0.003048612673759096,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
3,5709,0.05958295065542289,38,0.14941320721667542,0.7976680458440988,0.9108973084960944,0.8196583976246832,0.02199035178058444,0.11322926265199566,0.01831039310106444,0.02003947509642029,0.014974684075829768,0.0057091665721977665,0.020848825244126144,0.7976680458440988,0.9108973084960944,0.819658397624683,0.021990351780584373,0.11322926265199565,0.018310393101064432,0.02003947509642029,0.014974684075829702,0.005709166572197725,0.020848825244126106,0.9345008756567426,0.9549912434325745,0.9350262697022768,0.0005253940455341554,0.020490367775831887,0.006176949943449535,0.0044855511295501665,0.00514778930182103,0.0022564095843651804,0.0056640846335538455,0.06196106182269775,0.026404075482604584,0.0711685356484915,0.036077427460422265,0.08733899501803419,0.03667241755745505,0.029872347767796764,0.5220676773964472,0.121506662469865,0.08007882063722589,0.08214275977468607,0.03875976388325739,0.0471059822496546,0.004854398231686384,0.1607878000321544,0.11962862799281124,0.11476356801802053,0.07032595157474816,0.025423999997810455,0.003947841853288262,0.10825959850265932,0.04180796332240534,0.08966868869812947,0.019375034607648344,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
4,7794,0.08134340819904817,38,0.18206312548113934,0.846078431372549,0.9560461198563933,0.8547227285280309,0.008644297155481984,0.10996768848384433,0.010678658116954386,0.0027549057777831597,0.011721715402033423,0.008708676503413068,0.010848871343387058,0.846078431372549,0.9560461198563932,0.8547227285280309,0.008644297155481918,0.10996768848384422,0.010678658116954374,0.002754905777783116,0.011721715402033392,0.008708676503412987,0.01084887134338706,0.9389352148813342,0.97421423989737,0.940987812700449,0.0020525978191147987,0.0352790250160359,0.004991680938638542,0.0026725678840282016,0.005320446787255344,0.0029645208488239213,0.005722824380550493,0.11308188658502895,0.06604655904838877,0.018491497463307246,0.01074606691234508,0.18467390868785438,0.1358472000747596,0.01158842900961853,0.0016540492030199974,0.06743708752219052,0.36727710626645615,0.04790780231920272,0.03629327564072463,0.06581085420241425,0.033663929392542986,0.19232115082821502,0.14966671931860673,0.10797393780204707,0.07058687171406909,0.018628276895987454,0.011626402968510358,0.15886818117939788,0.114662722866266,0.013216987504736082,0.0019290965943108025,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
5,6466,0.06748351006095016,38,0.28069904113826166,0.906073329723364,0.9478241057188426,0.911399810032756,0.005326480309392067,0.04175077599547863,0.014542101148723351,0.011292191241374703,0.01672877304984371,0.004815625216005995,0.004603904941586631,0.906073329723364,0.9478241057188426,0.911399810032756,0.005326480309392134,0.04175077599547863,0.014542101148723365,0.011292191241374667,0.01672877304984372,0.004815625216005982,0.004603904941586649,0.9412673879443586,0.9595054095826893,0.9392581143740341,-0.0020092735703245656,0.01823802163833077,0.00922190657816152,0.008586055278102737,0.0111946330523844,0.0038048017388226264,0.00221834622788366,0.036053609849246424,0.022844774546190674,0.09208911980160756,0.07509569931834352,0.11083198063958932,0.0955541561723385,0.014468809601099971,0.0031815890415912095,0.07536465034898708,0.047555987701183695,0.19149348416482317,0.4010621166296432,0.05189233440738431,0.03075774873435541,0.11143368706240186,0.09947279708631435,0.10320553914135691,0.07253030034504193,0.02522036806563536,0.0101109267968857,0.17149611416959262,0.13887891029626856,0.016450302748275338,0.0029549933318434285,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
6,9230,0.09633046672789514,38,0.17486457204767064,0.7282959532778104,0.8454480219706502,0.7727474899833107,0.04445153670550017,0.11715206869283981,0.02311523218443648,0.022634706096670003,0.022285847800084895,0.006268539025138001,0.01401970110123086,0.7282959532778104,0.8454480219706502,0.7727474899833107,0.04445153670550019,0.11715206869283985,0.023115232184436445,0.022634706096669965,0.022285847800084895,0.006268539025137995,0.014019701101230813,0.9006500541711808,0.9261105092091008,0.9104008667388948,0.009750812567713974,0.025460455037919827,0.007680854550277858,0.007256512264199491,0.006295054841314799,0.0027621990864533227,0.003906339410036862,0.06959661296644035,0.034479794626262716,0.045140193601676176,0.010569195351060642,0.03996626107075381,0.005195918147484118,0.03198079637199136,0.005116598348346055,0.07761728208783428,0.03512193107948524,0.07351346888581818,0.05701335616345653,0.25448956027361297,0.6144899351358715,0.058261570536868736,0.01796304135195286,0.1315724554253954,0.09054563399053023,0.03704605995024897,0.004417369161369351,0.13786763648351474,0.11310346286307942,0.04294810234584508,0.011983763781101334,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
7,11328,0.11822660098522167,38,0.1940324858757062,0.8879326396495072,0.9568346111719606,0.9062513691128148,0.018318729463307794,0.0689019715224535,0.014406784801586194,0.005480265648623689,0.01137500783651742,0.00901553043784165,0.011500383350414624,0.8879326396495072,0.9568346111719606,0.9062513691128149,0.018318729463307724,0.06890197152245345,0.014406784801586216,0.005480265648623711,0.011375007836517377,0.009015530437841654,0.01150038335041463,0.9497793468667256,0.9715798764342454,0.9542806707855253,0.0045013239187996264,0.021800529567519857,0.0065598955608338946,0.0032260665282430843,0.005593284913593945,0.0031871968376465483,0.004540095728018228,0.08837491126897747,0.05824968789980968,0.025176104307136387,0.009103352355307225,0.17761249176697663,0.16007464007565242,0.012059737948028983,0.0014546665447405889,0.1788334275330854,0.12914058946088713,0.07024060819688305,0.040247161923439634,0.040431289300548325,0.03534442266184915,0.10233623183312868,0.3735637895901336,0.10639736832552538,0.07164927039635184,0.029613874323835387,0.01182889272679713,0.15550572093507128,0.10612070623185058,0.013418234260803187,0.0032228201331809267,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
8,9218,0.09620522668447859,38,0.22206552397483184,0.8023613300051966,0.919044154605011,0.8290554850361638,0.026694155030967014,0.11668282459981431,0.014364276243598489,0.005869509505385389,0.014733916918182658,0.005843378781863144,0.011921188187253249,0.8023613300051966,0.919044154605011,0.8290554850361636,0.02669415503096704,0.11668282459981431,0.01436427624359849,0.005869509505385427,0.014733916918182691,0.005843378781863201,0.011921188187253302,0.9027114967462039,0.9444685466377439,0.9105206073752712,0.007809110629067218,0.041757049891540075,0.006458600837726417,0.002625535452692011,0.0064531343950731054,0.0022905327637681673,0.005178887803172786,0.07282317921257339,0.04476207540811596,0.034309064653886924,0.008615733573749274,0.055312596444438276,0.020274420920884686,0.01999806931964178,0.0026530119581635305,0.15270004525956357,0.11366895761497464,0.1276440601631728,0.07443896263990676,0.11097168423057786,0.07012989108206831,0.10502025102763804,0.07469771736872417,0.07501773426841699,0.44033871271562963,0.02807944431809025,0.0051483009794600215,0.1916331797828958,0.1375103792129892,0.02649069131910427,0.0077618365253339094,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
9,5032,0.052517324872672626,38,0.23231319554848967,0.8665693656638028,0.9757632047412125,0.8817737530544776,0.015204387390674645,0.10919383907740965,0.016799662750794756,0.011583194301495476,0.01803996846552597,0.012566327497457327,0.012127108717914947,0.8665693656638028,0.9757632047412125,0.8817737530544776,0.015204387390674623,0.10919383907740957,0.016799662750794753,0.011583194301495387,0.018039968465525923,0.01256632749745726,0.012127108717914963,0.9314796425024827,0.9829195630585899,0.9374379344587884,0.0059582919563058835,0.051439920556107244,0.008496226270588873,0.004921355191008467,0.009668847225134532,0.004945342442100795,0.0057356619972964125,0.12929839522882375,0.07383589897273843,0.0242805000685364,0.010703028168891175,0.1693956109818808,0.1125729286054441,0.007115384041133886,0.001543031667163991,0.18905440734715537,0.17200393698341498,0.07866095743415757,0.04574735372302717,0.03225425585941669,0.015022154282878463,0.12617279508993764,0.09917591474137916,0.05697524676439055,0.039285615656729965,0.019442536692883046,0.33648100887185656,0.16149121093417126,0.09233446878508889,0.005858699557513037,0.001294659541387007,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,vehicle-loan-default,natural,0.2,0.2,5,0.0,branch.id
