island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,a,c_clients
0,48905,0.09937717809861515,50,1.568203660157448,0.8905157861253812,0.9108138386431779,0.8874382110611563,-0.0030775750642248354,0.020298052517796816,0.002302622159858832,0.0013404092211304925,0.0023153698432830903,0.0014499287306476906,0.0024274554231178674,0.8905157861253812,0.9108138386431779,0.8874382110611563,-0.0030775750642248354,0.02029805251779675,0.002302622159858866,0.0013404092211304773,0.0023153698432830765,0.0014499287306477295,0.002427455423117906,0.895307228299765,0.9141805541355689,0.8917902055004602,-0.00351702279930477,0.018873325835804124,0.002644020836355303,0.0015594050477405032,0.002770357150302022,0.001182795613044027,0.0021703591678291032,0.028984071353313157,0.5266188017624399,0.07191780961952923,0.032451266826228606,0.0859282194497588,0.048657413096898625,0.12678893945124128,0.118664698640735,0.06051681768322642,0.011538274722284348,0.10673170128395111,0.04745200192006841,0.1322857594965423,0.015903239275623433,0.06810478186821081,0.013042463018631548,0.16655879351712571,0.12530618447870198,0.15218310627710116,0.06036565625838812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
1,48812,0.0991881978805767,50,1.5715807588297959,0.891249686176425,0.9119094697174175,0.8864460647594763,-0.004803621416948745,0.020659783540992425,0.0015891181169044618,0.0021123434729276138,0.0018396080238006858,0.0005322680756334296,0.002305568447378541,0.891249686176425,0.9119094697174173,0.8864460647594763,-0.004803621416948766,0.020659783540992405,0.001589118116904433,0.0021123434729276276,0.0018396080238007244,0.0005322680756334534,0.002305568447378602,0.8964457646215302,0.9148827204752636,0.8914063300215098,-0.00503943460002052,0.01843695585373346,0.001099367642322956,0.001926073423913646,0.0018108538875844932,0.0008628265774312163,0.0017811791555287545,0.08402989642941175,0.02440152827393326,0.027385752831378684,0.43248665778457784,0.17385850613260606,0.13007016927872303,0.14012863618958243,0.09542438179997192,0.06947884582533828,0.041836435954258046,0.05563719503078875,0.07694258140986686,0.06455210564462464,0.023601291478419828,0.0987015506049034,0.0101796829801622,0.2052093299590713,0.138839301793416,0.08101818135229474,0.026217969246670962,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
2,50318,0.1022484581855867,50,1.5713859851345442,0.8910220314043258,0.9103149059684343,0.8875031505109753,-0.0035188808933502625,0.019292874564108775,0.004093086924290279,0.0035883042123756176,0.004247220884575437,0.00029057373527533744,0.0026650472816868885,0.8910220314043258,0.9103149059684345,0.8875031505109753,-0.0035188808933502625,0.019292874564108775,0.004093086924290279,0.003588304212375649,0.004247220884575457,0.0002905737352753663,0.0026650472816868733,0.8959260731319555,0.9133147853736089,0.8918720190779015,-0.004054054054054035,0.017388712241653413,0.0037897200964873423,0.0031762949307782566,0.004179626502903937,0.0008008522130210252,0.002388874260765331,0.11146164878806031,0.02731165383712374,0.1118774393992186,0.09158314501996463,0.0279678699460991,0.4775331355100384,0.13753311037002508,0.08195822483979243,0.07756321141500717,0.024815034585884594,0.11564723514995856,0.04187977395870513,0.12058618012035946,0.0434226482132362,0.0686198800653142,0.020619350616906302,0.09567837872027804,0.10721992898283804,0.1330650460256795,0.08365710443551035,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
3,48795,0.0991536531095374,50,1.5711445844861154,0.8907061459181325,0.9129699590906577,0.8864969462674244,-0.004209199650708051,0.022263813172525283,0.001705061322990762,0.004081645496664022,0.001434921960434563,0.00033697165547680986,0.003211218304500012,0.8907061459181325,0.9129699590906577,0.8864969462674244,-0.004209199650708051,0.022263813172525283,0.0017050613229907376,0.004081645496663959,0.0014349219604346017,0.00033697165547675863,0.0032112183044999743,0.8955220821805513,0.9161389486627728,0.8909314478942514,-0.0045906342862997995,0.02061686648222154,0.0014758456306907558,0.0037697642001274833,0.0010340793779315671,0.0006525948694780538,0.002972251893888728,0.07472592696837271,0.016035395312971136,0.07403101490366756,0.008216492014837668,0.13364147084365025,0.10321475385505381,0.029017477174306444,0.49081538802530655,0.06260054989950554,0.01573358367831438,0.11049586776156592,0.06581059978632478,0.12501490461498224,0.06566125520737028,0.09425478707381381,0.010428215032180155,0.18111684998395455,0.15015424723690063,0.11510115077618104,0.07393006985074053,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
4,49468,0.10052121963362222,50,1.570914530605644,0.8925596762803011,0.9133836877848859,0.8864633472761995,-0.006096329004101575,0.020824011504584773,0.0011182835386508109,0.002388178305186037,0.00206398338619773,0.0014809104410745042,0.0025523304406163154,0.8925596762803011,0.9133836877848859,0.8864633472761995,-0.006096329004101531,0.020824011504584773,0.001118283538650809,0.0023881783051859892,0.0020639833861977016,0.0014809104410744283,0.002552330440616287,0.8971700020214272,0.9158277744087325,0.8909440064685669,-0.0062259955528603415,0.01865777238730537,0.0013047212098730436,0.0019974318701492756,0.002048534636775176,0.001227257670237382,0.00232736413416199,0.09304696982962338,0.0136892630231658,0.07512163144778802,0.0518334113716548,0.10559003664816764,0.07547712335328363,0.14458194543235167,0.09098875747459974,0.029259841206727265,0.46769945353789577,0.11295462774926897,0.12555861994691925,0.12431708236139796,0.014685547272343521,0.07977437339079885,0.02282962736867154,0.15307931244104395,0.11927859397712699,0.08227417949283225,0.017959602674338968,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
5,49060,0.09969214512867927,50,1.567916836526702,0.8900345392731852,0.9113959114981917,0.8869750030475829,-0.0030595362256023995,0.02136137222500647,0.001613170027498238,0.001867087781250097,0.002301128893458125,0.0007546201005280054,0.0021885652191301025,0.8900345392731854,0.9113959114981917,0.8869750030475829,-0.0030595362256023995,0.02136137222500647,0.0016131700274982766,0.001867087781250097,0.002301128893458087,0.0007546201005279396,0.002188565219130113,0.8945984508764777,0.914716673461068,0.891520587036282,-0.003077863840195638,0.020118222584590305,0.0019523236894331258,0.0014505052486471742,0.0028100744005389784,0.0010481011114702172,0.002312034070680684,0.11627320201076718,0.06554610401730421,0.08355718446405097,0.0306471222383869,0.12617845430782088,0.09254128538588474,0.11658610203931574,0.07827584298127291,0.0744745648149846,0.032845489941951515,0.027187986125701037,0.510645506952737,0.16336698243683384,0.05624934512214021,0.05987835095025086,0.03106251131499625,0.1292607381621653,0.08453674772565051,0.1032364346881095,0.017650044319675668,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
6,48494,0.09854200745760645,50,1.5672454324246299,0.8897092849984501,0.912319855616867,0.8856728555916634,-0.0040364294067866124,0.02261057061841698,0.003582815536703567,0.001402917391462179,0.0034760174023125544,0.0009831483351799275,0.003880205556206457,0.8897092849984501,0.912319855616867,0.8856728555916634,-0.0040364294067866124,0.022610570618417,0.0035828155367035692,0.00140291739146219,0.0034760174023125544,0.0009831483351798967,0.0038802055562065104,0.8938034848953501,0.9149809258686463,0.8893906588308074,-0.004412826064542763,0.021177440973296234,0.0034251444080517298,0.0015301046672101593,0.0033747433831081736,0.0010461821543636242,0.0037212191359641262,0.09174126737162411,0.024812728471713136,0.0840294148561776,0.0358517553301254,0.1409993436029699,0.07973090909040895,0.14856332425856722,0.08135821122864932,0.09003098891134384,0.027119270367625258,0.1433182585931556,0.0913250575347804,0.029178827097673145,0.5283251151382666,0.05699870435350636,0.013483377105697567,0.09714856091490445,0.09046774729044241,0.11799131004007783,0.027525828442290956,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
7,49463,0.10051105940684596,50,1.5704263793138304,0.8884222660036901,0.9117277459840928,0.8836414256079891,-0.004780840395701103,0.023305479980402555,0.0012844513195735916,0.0019929626100280476,0.0020342939071265995,0.0011555044316079912,0.0017836046102940885,0.8884222660036901,0.9117277459840928,0.8836414256079891,-0.00478084039570108,0.0233054799804026,0.0012844513195736094,0.0019929626100279978,0.0020342939071266615,0.0011555044316080571,0.001783604610294072,0.8933387243505508,0.9145254220155665,0.8881431315071262,-0.005195592843424657,0.021186697665015665,0.001220369010232415,0.0019700277311359418,0.0023942467350919483,0.0014044156015734868,0.0017468112465159693,0.061462221812109606,0.0046371742063994505,0.05020365076120682,0.029942453592767277,0.14434317192894183,0.10652957937396582,0.11516251006301914,0.0828741699005475,0.11732992517605531,0.040591261740026016,0.1354922087841571,0.07328405255253397,0.09932682669676575,0.040001662041371545,0.02883807407458185,0.4951190873943115,0.12507852734419483,0.08463720615392459,0.12276288335896775,0.0423833530441524,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
8,49193,0.09996240716092783,50,1.5676823938365214,0.8926709581671304,0.9105105774374657,0.889153758703694,-0.003517199463436227,0.01783961927033546,0.002061921372313499,0.002588123897610283,0.003975994156490628,0.002353674385098074,0.002425511498805285,0.8926709581671304,0.9105105774374659,0.8891537587036942,-0.0035171994634361826,0.01783961927033546,0.0020619213723134435,0.002588123897610314,0.003975994156490606,0.0023536743850980308,0.002425511498805163,0.8971236914320562,0.9137513974997459,0.8930988921638378,-0.004024799268218327,0.016627706067689797,0.002064394049778737,0.0018780460554854884,0.0033446851916933986,0.0016090673789745673,0.0020180381983520438,0.10679890768044889,0.04432991954904305,0.09528316545041338,0.02185706638596919,0.09474290440231752,0.08800453142900863,0.13880773322330264,0.07412379858510479,0.07444394383063062,0.004654857622232145,0.13583091034279243,0.1031256861258983,0.13750500743195893,0.06457037997927162,0.06758477578472616,0.007329529844324724,0.0276278026360434,0.5179681013566672,0.12137484921736612,0.0740361291224805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
9,49601,0.10079148166587078,50,1.5687385334973085,0.8887420026693599,0.9099591096356997,0.8859505077392132,-0.002791494930146565,0.021217106966339938,0.003703236256781365,0.003418863119040217,0.004559358968042124,0.001038369602042924,0.0037187352405344647,0.8887420026693598,0.9099591096356997,0.8859505077392132,-0.002791494930146543,0.021217106966339917,0.0037032362567813726,0.0034188631190402584,0.004559358968042103,0.0010383696020428808,0.003718735240534498,0.8933373651849612,0.9128716863219435,0.8900917246245339,-0.0032456405604274208,0.019534321136982124,0.003504117483646371,0.003298734751590792,0.004038699959485107,0.0006291497443534815,0.0032282520102547437,0.07543650919318376,0.051931545237399346,0.06225189779571143,0.015659480900941387,0.15068008936579344,0.1207872412647291,0.12338814562858107,0.05888818516460902,0.06384893759837458,0.0018741538569540933,0.07385857665377396,0.008689247322014745,0.07281788217593516,0.010996848161095626,0.142573137684129,0.04151595389460667,0.20642965390844167,0.14328473983273016,0.028715169996075977,0.54637260436492,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2,covertype,power,0.2,0.2,5,0.0,1.0,10
