island,n,n_fraction,p,y_mean,baseline_ROC AUC_mean,stack_on_validation_ROC AUC_mean,stack_on_pooled_ROC AUC_mean,stack_on_pooled_delta_ROC AUC_mean,stack_on_validation_delta_ROC AUC_mean,baseline_ROC AUC_std,stack_on_validation_ROC AUC_std,stack_on_pooled_ROC AUC_std,stack_on_pooled_delta_ROC AUC_std,stack_on_validation_delta_ROC AUC_std,baseline_Balanced Accuracy_mean,stack_on_validation_Balanced Accuracy_mean,stack_on_pooled_Balanced Accuracy_mean,stack_on_pooled_delta_Balanced Accuracy_mean,stack_on_validation_delta_Balanced Accuracy_mean,baseline_Balanced Accuracy_std,stack_on_validation_Balanced Accuracy_std,stack_on_pooled_Balanced Accuracy_std,stack_on_pooled_delta_Balanced Accuracy_std,stack_on_validation_delta_Balanced Accuracy_std,baseline_Accuracy_mean,stack_on_validation_Accuracy_mean,stack_on_pooled_Accuracy_mean,stack_on_pooled_delta_Accuracy_mean,stack_on_validation_delta_Accuracy_mean,baseline_Accuracy_std,stack_on_validation_Accuracy_std,stack_on_pooled_Accuracy_std,stack_on_pooled_delta_Accuracy_std,stack_on_validation_delta_Accuracy_std,imp_on_validation_0,imp_on_pooled_0,imp_on_validation_1,imp_on_pooled_1,imp_on_validation_2,imp_on_pooled_2,imp_on_validation_3,imp_on_pooled_3,imp_on_validation_4,imp_on_pooled_4,imp_on_validation_5,imp_on_pooled_5,imp_on_validation_6,imp_on_pooled_6,imp_on_validation_7,imp_on_pooled_7,imp_on_validation_8,imp_on_pooled_8,imp_on_validation_9,imp_on_pooled_9,jaccard_0,jaccard_1,jaccard_2,jaccard_3,jaccard_4,jaccard_5,jaccard_6,jaccard_7,jaccard_8,jaccard_9,random_state,data,partitioning_method,val_size,test_size,n_bootstraps,eps,prop_cols,c_clients,target_col,natural_col
0,50000,1.0,37,1.5672,0.8710703941142273,0.978309704381741,0.8698439524570547,-0.001226441657172539,0.10723931026751374,0.0017065230607071192,0.0010440784779527108,0.0014947335728790205,0.0007573031649347812,0.0021380761142571797,0.8710703941142273,0.978309704381741,0.8698439524570547,-0.0012264416571724722,0.1072393102675138,0.0017065230607070745,0.0010440784779527108,0.001494733572879002,0.0007573031649347437,0.0021380761142571546,0.87584,0.97868,0.8748400000000001,-0.0010000000000000453,0.10283999999999997,0.0016499696966914299,0.0010047885349664524,0.0010442221985765263,0.0007899367063252544,0.0020480234373659065,0.17085755937996064,0.47869084366959386,0.02090497327816939,0.0049857722245269355,0.03510490663902865,0.018932427129585785,0.05245055316219325,0.03996078375485367,0.04438667704617356,0.02016736038472759,0.01020355881178953,0.0004750424102455465,0.3339572204041909,0.2230388469321701,0.04078093637506668,0.028431751771333346,0.2818564111523723,0.18486449128323956,0.00949720375105511,0.00045268043972376625,1.0,0.5102040816326531,0.574468085106383,0.574468085106383,0.574468085106383,0.574468085106383,0.7619047619047619,0.5416666666666666,0.574468085106383,0.6086956521739131,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
1,50000,1.0,37,1.5672,0.8628865015160244,0.8716596622771913,0.862661672345784,-0.00022482917024055916,0.008773160761166765,0.0032709462111686145,0.0026781553104055548,0.002135348379127831,0.0011745340615924346,0.0024960661777186444,0.8628865015160244,0.8716596622771913,0.862661672345784,-0.00022482917024053696,0.008773160761166809,0.003270946211168597,0.002678155310405598,0.0021353483791278867,0.0011745340615923788,0.0024960661777185876,0.86714,0.87508,0.86668,-0.0004599999999999937,0.007940000000000013,0.0032714522768947864,0.0020360746548199284,0.002471760506197981,0.0008979977728257529,0.002734666341621987,0.04990311355628429,0.010995148897501566,0.32192843173637026,0.6973113516238738,0.20763468294139537,0.157308989304839,0.04803248707305593,0.008001800067234756,0.04238955439562796,0.0025266225479674297,0.06422001349078776,0.011369911891972846,0.09955810989946907,0.06049502820548754,0.05688691243976365,0.019899359945957748,0.06903583717511855,0.03099893130753893,0.04041085729212694,0.0010928562076263344,0.5102040816326531,1.0,0.5416666666666666,0.6086956521739131,0.5416666666666666,0.6086956521739131,0.6086956521739131,0.5102040816326531,0.6444444444444445,0.574468085106383,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
2,50000,1.0,37,1.5672,0.8455834217572328,0.881139573323183,0.8451573250184452,-0.0004260967387875292,0.035556151565950336,0.002289446052035132,0.0033979885220919684,0.0016115103219482224,0.0011461330554571772,0.0019750761565477293,0.8455834217572328,0.881139573323183,0.8451573250184452,-0.00042609673878755137,0.035556151565950336,0.002289446052035134,0.003397988522091961,0.0016115103219481828,0.0011461330554572477,0.001975076156547705,0.8503000000000001,0.88548,0.84968,-0.0006200000000000205,0.03517999999999999,0.002059126028197389,0.003270107031887489,0.001749742838247922,0.0006794115100585255,0.0020272148381461825,0.052659394059975474,0.010369504928365348,0.19013784651696758,0.12072064406800742,0.29864852517837837,0.7049165534814672,0.08043079471595858,0.03900929598364497,0.040248932306098086,0.0024538485448625247,0.041586190112277564,0.0013083132484738508,0.04341873711028589,0.004022428042577847,0.11880071327766917,0.06213316302929141,0.09454409197108281,0.053781965347320194,0.039524774751306516,0.0012842833259892705,0.574468085106383,0.5416666666666666,1.0,0.5416666666666666,0.5416666666666666,0.6086956521739131,0.6086956521739131,0.574468085106383,0.6086956521739131,0.574468085106383,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
3,50000,1.0,37,1.5672,0.8959138707768354,0.9829558045618911,0.9018333728742418,0.005919502097406259,0.08704193378505565,0.0012772577591064335,0.0011398203792583421,0.0013337291173266563,0.001586740238799444,0.0004664471666723138,0.8959138707768354,0.9829558045618911,0.9018333728742416,0.005919502097406259,0.08704193378505565,0.0012772577591064675,0.0011398203792583141,0.001333729117326582,0.0015867402387994634,0.0004664471666723234,0.9000600000000001,0.9836400000000001,0.9057999999999999,0.005740000000000012,0.08358000000000003,0.0010836973747315323,0.0011146299834474188,0.0011610340218959805,0.001523942256123898,0.0005775811631277602,0.03749644223491054,0.02435208175117599,0.009497080099925044,0.0011335851533732912,0.08069830491086497,0.07620814309190542,0.15054872429082236,0.43459398937256744,0.007821619506079404,0.0006575750937315052,0.009221519213864314,0.0021707087301077914,0.010928065247443929,0.004366128794141697,0.1852087156427443,0.1278081224097874,0.017970932287194243,0.01215574019903925,0.4906085965661509,0.3165539254041702,0.574468085106383,0.6086956521739131,0.5416666666666666,1.0,0.6086956521739131,0.574468085106383,0.574468085106383,0.574468085106383,0.6086956521739131,0.6818181818181818,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
4,50000,1.0,37,1.5672,0.7779832311787448,0.7731808031931673,0.7777917076197502,-0.0001915235589945441,-0.004802427985577551,0.004390962089625315,0.0054355640907865835,0.004696640491241211,0.0010600779994092717,0.002878497079567416,0.7779832311787449,0.7731808031931673,0.7777917076197502,-0.00019152355899461072,-0.004802427985577573,0.004390962089625339,0.00543556409078658,0.0046966404912412345,0.0010600779994092643,0.0028784970795673478,0.78616,0.78006,0.78598,-0.00018000000000000237,-0.006099999999999994,0.0041998095194901285,0.005233965991482914,0.003545363168985625,0.0008565045242145667,0.002657066051117254,0.07749622601723176,0.01358274928047715,0.08037570625929684,0.02858434819289012,0.06455818895981283,0.0015317894138238137,0.06689038320206457,0.004063582321573056,0.3179236954249724,0.8822688524848494,0.07676077775004157,0.012215132897569387,0.07274414681381165,0.008848798037481388,0.0752671225459828,0.012575302879257916,0.0659570090004294,0.0016555089198100888,0.10202674402635621,0.03467393557226762,0.574468085106383,0.5416666666666666,0.5416666666666666,0.6086956521739131,1.0,0.5102040816326531,0.5102040816326531,0.574468085106383,0.5416666666666666,0.6086956521739131,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
5,50000,1.0,37,1.5672,0.8417289001457366,0.8456368019834762,0.840662990231223,-0.0010659099145134076,0.003907901837739747,0.0021926603435734166,0.0025808970123226494,0.002809215820808774,0.0010598600934279912,0.0011673305684573236,0.8417289001457366,0.8456368019834762,0.840662990231223,-0.0010659099145134744,0.003907901837739769,0.0021926603435734023,0.002580897012322622,0.002809215820808789,0.0010598600934280627,0.001167330568457288,0.8472999999999999,0.84946,0.84642,-0.0008800000000000141,0.0021600000000000065,0.00207460839678239,0.0026582701141907973,0.0021618510586994552,0.0007756287771866245,0.0009414881836751866,0.04499520304353215,0.00208977248357626,0.08132792873229422,0.027234769892935835,0.050027149445940514,0.002927283330010968,0.05568643014212441,0.008116856324232655,0.07111156283048693,0.017701895751652267,0.40180086426855527,0.8401416714523471,0.05624659460143988,0.009486803154774494,0.04634984367375239,0.0020253310489328257,0.047405687593754756,0.002699452526339796,0.14504873566811946,0.08757616403519781,0.574468085106383,0.6086956521739131,0.6086956521739131,0.574468085106383,0.5102040816326531,1.0,0.6818181818181818,0.574468085106383,0.5102040816326531,0.574468085106383,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
6,50000,1.0,37,1.5672,0.8658678099637875,0.8957853085103332,0.8655504615857904,-0.00031734837799712867,0.02991749854654575,0.001969037457774559,0.002447467361586,0.001297392022869796,0.0007704753706470571,0.0016352094718910968,0.8658678099637875,0.8957853085103332,0.8655504615857904,-0.0003173483779971953,0.02991749854654573,0.001969037457774559,0.002447467361585949,0.0012973920228698246,0.0007704753706470562,0.001635209471891071,0.8706400000000001,0.8981999999999999,0.8702799999999999,-0.00036000000000000474,0.027560000000000008,0.0018391302292116143,0.0024827404213892223,0.0013466996695626224,0.0006343500610861197,0.0015107613974416807,0.28390889848936457,0.20130656418636594,0.07224412984840069,0.0387370205395891,0.06303553668782844,0.021617735361861012,0.06551636347604062,0.029218066795882857,0.038063843822004714,0.0018117640850835754,0.038142499196006,0.0018010687173203276,0.2529782613032596,0.6247515819002253,0.042759280424082634,0.009139628847801777,0.10710726091533071,0.06996412281644508,0.03624392583768201,0.0016524467494249313,0.7619047619047619,0.6086956521739131,0.6086956521739131,0.574468085106383,0.5102040816326531,0.6818181818181818,1.0,0.574468085106383,0.5416666666666666,0.574468085106383,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
7,50000,1.0,37,1.5672,0.8758320536852562,0.9763820525120643,0.8802299586254364,0.004397904940180242,0.10054999882680818,0.0020600229101828795,0.0016738217608131217,0.001562985154844547,0.0015021734391293712,0.0034887885454323005,0.875832053685256,0.9763820525120644,0.8802299586254364,0.004397904940180264,0.10054999882680829,0.002060022910182863,0.0016738217608131486,0.0015629851548444884,0.001502173439129357,0.003488788545432338,0.8797200000000001,0.97622,0.8835599999999999,0.003839999999999999,0.0965,0.001805990033195094,0.0016690116836020111,0.0012784365451597732,0.0013001538370516256,0.0033033316515300244,0.03160775688723664,0.018015305656496745,0.012400741797311687,0.001043301150082877,0.28760771896487836,0.22193867318531232,0.34937492459333147,0.2324401078721674,0.05097173704366118,0.029277290317910216,0.00892309237472692,0.0003975591203957762,0.011036813766852033,0.0007952084200375539,0.08673393535804,0.4104700358760584,0.02571608904416712,0.008005241933057815,0.1356271901697947,0.07761727646848084,0.5416666666666666,0.5102040816326531,0.574468085106383,0.574468085106383,0.574468085106383,0.574468085106383,0.574468085106383,1.0,0.5416666666666666,0.6444444444444445,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
8,50000,1.0,37,1.5672,0.8142857934296046,0.8438095557774481,0.8125341529164244,-0.0017516405131801527,0.029523762347843575,0.0027558533068194647,0.0029084181090321673,0.0032268692806649143,0.0010132321565997726,0.002215656556232004,0.8142857934296046,0.8438095557774481,0.8125341529164245,-0.0017516405131801304,0.029523762347843575,0.002755853306819479,0.0029084181090321647,0.003226869280664906,0.0010132321565997301,0.002215656556232004,0.8190999999999999,0.84694,0.81738,-0.0017200000000000104,0.027839999999999976,0.002718087562975117,0.002696367927416425,0.0030055947830670724,0.0011196428001822765,0.0016463292501805,0.20064394759062765,0.12782258378739142,0.08880348420638273,0.039665442945790635,0.12196287126026539,0.07196833414175177,0.06542825089470523,0.016729422000110027,0.05266113732950548,0.0029959636500439665,0.049568077205558614,0.002135328849674222,0.09188119830954952,0.03522666790714313,0.052207096046536096,0.005271318686998553,0.22562950723232053,0.6959816571571891,0.05121442992454871,0.0022032808739072874,0.574468085106383,0.6444444444444445,0.6086956521739131,0.6086956521739131,0.5416666666666666,0.5102040816326531,0.5416666666666666,0.5416666666666666,1.0,0.5416666666666666,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
9,50000,1.0,37,1.5672,0.83775875396604,0.8567857086990868,0.836723379626612,-0.0010353743394278414,0.019026954733046785,0.0023587282541015745,0.004436851568598712,0.003328395351296226,0.001231506961980723,0.0029768205314396833,0.83775875396604,0.8567857086990868,0.8367233796266123,-0.001035374339427797,0.01902695473304674,0.0023587282541016026,0.004436851568598653,0.0033283953512962673,0.0012315069619807367,0.0029768205314396282,0.8443799999999999,0.8603,0.84328,-0.0010999999999999899,0.015920000000000024,0.0019072493282211603,0.004661759324546904,0.002541967741730808,0.0007456540752922704,0.003525563784701651,0.0455971265644467,0.004411689872143226,0.04848566383550852,0.0018558206876323456,0.044429835464974074,0.001410965463818176,0.11946797326853287,0.05305289189036523,0.07213030161175342,0.025374683470741212,0.16620707714826963,0.10390065979378305,0.043967932483326345,0.0024487341796291277,0.057048712669291526,0.011237888020707756,0.0455372394344334,0.002069021231862025,0.35712813751946354,0.7942376453893178,0.6086956521739131,0.574468085106383,0.574468085106383,0.6818181818181818,0.6086956521739131,0.574468085106383,0.574468085106383,0.6444444444444445,0.5416666666666666,1.0,8,covertype,vertical,0.2,0.2,5,2.0,0.75,10,Cover.Type,Wilderness.Area
